vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade;semana
3;13;9;3;0,5714285714285714;0,25;0,5;0,3333333333333333;lof;20-35;Sleeping;5
3;13;9;3;0,5714285714285714;0,25;0,5;0,3333333333333333;lof;20-35;Sleeping;6
5;12;7;4;0,6071428571428571;0,4166666666666667;0,5555555555555556;0,4761904761904762;lof;20-35;Sleeping;7
6;14;6;2;0,7142857142857143;0,5;0,75;0,6;lof;20-35;Sleeping;8
3;12;9;4;0,5357142857142857;0,25;0,42857142857142855;0,3157894736842105;iforest;20-35;Sleeping;1
6;11;6;5;0,6071428571428571;0,5;0,5454545454545454;0,5217391304347826;iforest;20-35;Sleeping;2
0;15;12;1;0,5357142857142857;0,0;0,0;;iforest;20-35;Sleeping;3
6;15;6;1;0,75;0,5;0,8571428571428571;0,631578947368421;iforest;20-35;Sleeping;4
5;15;7;1;0,7142857142857143;0,4166666666666667;0,8333333333333334;0,5555555555555556;iforest;20-35;Sleeping;5
6;15;6;1;0,75;0,5;0,8571428571428571;0,631578947368421;iforest;20-35;Sleeping;6
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;iforest;20-35;Sleeping;7
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;iforest;20-35;Sleeping;8
6;14;6;2;0,7142857142857143;0,5;0,75;0,6;rce;20-35;Sleeping;1
6;14;6;2;0,7142857142857143;0,5;0,75;0,6;rce;20-35;Sleeping;2
5;15;7;1;0,7142857142857143;0,4166666666666667;0,8333333333333334;0,5555555555555556;rce;20-35;Sleeping;3
8;15;4;1;0,8214285714285714;0,6666666666666666;0,8888888888888888;0,761904761904762;rce;20-35;Sleeping;4
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;rce;20-35;Sleeping;5
8;14;4;2;0,7857142857142857;0,6666666666666666;0,8;0,7272727272727272;rce;20-35;Sleeping;6
9;13;3;3;0,7857142857142857;0,75;0,75;0,75;rce;20-35;Sleeping;7
9;13;3;3;0,7857142857142857;0,75;0,75;0,75;rce;20-35;Sleeping;8
13;3;0;12;0,5714285714285714;1,0;0,52;0,6842105263157895;ocsvm;40-55;BedToToilet;1
13;10;0;5;0,8214285714285714;1,0;0,7222222222222222;0,8387096774193548;ocsvm;40-55;BedToToilet;2
13;12;0;3;0,8928571428571429;1,0;0,8125;0,896551724137931;ocsvm;40-55;BedToToilet;3
13;14;0;1;0,9642857142857143;1,0;0,9285714285714286;0,962962962962963;ocsvm;40-55;BedToToilet;4
13;14;0;1;0,9642857142857143;1,0;0,9285714285714286;0,962962962962963;ocsvm;40-55;BedToToilet;5
13;10;0;5;0,8214285714285714;1,0;0,7222222222222222;0,8387096774193548;ocsvm;40-55;BedToToilet;6
13;14;0;1;0,9642857142857143;1,0;0,9285714285714286;0,962962962962963;ocsvm;40-55;BedToToilet;7
13;13;0;2;0,9285714285714286;1,0;0,8666666666666667;0,9285714285714286;ocsvm;40-55;BedToToilet;8
12;15;1;0;0,9642857142857143;0,9230769230769231;1,0;0,9600000000000001;lof;40-55;BedToToilet;1
8;15;5;0;0,8214285714285714;0,6153846153846154;1,0;0,761904761904762;lof;40-55;BedToToilet;2
13;15;0;0;1,0;1,0;1,0;1,0;lof;40-55;BedToToilet;3
8;14;5;1;0,7857142857142857;0,6153846153846154;0,8888888888888888;0,7272727272727274;lof;40-55;BedToToilet;4
7;14;6;1;0,75;0,5384615384615384;0,875;0,6666666666666667;lof;40-55;BedToToilet;5
7;15;6;0;0,7857142857142857;0,5384615384615384;1,0;0,7000000000000001;lof;40-55;BedToToilet;6
5;9;8;6;0,5;0,38461538461538464;0,45454545454545453;0,41666666666666663;lof;40-55;BedToToilet;7
5;9;8;6;0,5;0,38461538461538464;0,45454545454545453;0,41666666666666663;lof;40-55;BedToToilet;8
1;14;12;1;0,5357142857142857;0,07692307692307693;0,5;0,13333333333333336;iforest;40-55;BedToToilet;1
0;14;13;1;0,5;0,0;0,0;;iforest;40-55;BedToToilet;2
5;13;8;2;0,6428571428571429;0,38461538461538464;0,7142857142857143;0,5;iforest;40-55;BedToToilet;3
5;12;8;3;0,6071428571428571;0,38461538461538464;0,625;0,4761904761904762;iforest;40-55;BedToToilet;4
9;12;4;3;0,75;0,6923076923076923;0,75;0,7199999999999999;iforest;40-55;BedToToilet;5
9;11;4;4;0,7142857142857143;0,6923076923076923;0,6923076923076923;0,6923076923076923;iforest;40-55;BedToToilet;6
13;11;0;4;0,8571428571428571;1,0;0,7647058823529411;0,8666666666666666;iforest;40-55;BedToToilet;7
13;14;0;1;0,9642857142857143;1,0;0,9285714285714286;0,962962962962963;iforest;40-55;BedToToilet;8
13;7;0;8;0,7142857142857143;1,0;0,6190476190476191;0,7647058823529412;rce;40-55;BedToToilet;1
10;11;3;4;0,75;0,7692307692307693;0,7142857142857143;0,7407407407407408;rce;40-55;BedToToilet;2
11;8;2;7;0,6785714285714286;0,8461538461538461;0,6111111111111112;0,7096774193548387;rce;40-55;BedToToilet;3
13;14;0;1;0,9642857142857143;1,0;0,9285714285714286;0,962962962962963;rce;40-55;BedToToilet;4
12;14;1;1;0,9285714285714286;0,9230769230769231;0,9230769230769231;0,9230769230769231;rce;40-55;BedToToilet;5
12;8;1;7;0,7142857142857143;0,9230769230769231;0,631578947368421;0,7499999999999999;rce;40-55;BedToToilet;6
9;12;4;3;0,75;0,6923076923076923;0,75;0,7199999999999999;rce;40-55;BedToToilet;7
9;14;4;1;0,8214285714285714;0,6923076923076923;0,9;0,7826086956521738;rce;40-55;BedToToilet;8
11;3;2;12;0,5;0,8461538461538461;0,4782608695652174;0,6111111111111112;ocsvm;40-55;Eating;1
10;7;3;8;0,6071428571428571;0,7692307692307693;0,5555555555555556;0,6451612903225806;ocsvm;40-55;Eating;2
10;10;3;5;0,7142857142857143;0,7692307692307693;0,6666666666666666;0,7142857142857142;ocsvm;40-55;Eating;3
10;10;3;5;0,7142857142857143;0,7692307692307693;0,6666666666666666;0,7142857142857142;ocsvm;40-55;Eating;4
10;11;3;4;0,75;0,7692307692307693;0,7142857142857143;0,7407407407407408;ocsvm;40-55;Eating;5
10;10;3;5;0,7142857142857143;0,7692307692307693;0,6666666666666666;0,7142857142857142;ocsvm;40-55;Eating;6
10;11;3;4;0,75;0,7692307692307693;0,7142857142857143;0,7407407407407408;ocsvm;40-55;Eating;7
10;11;3;4;0,75;0,7692307692307693;0,7142857142857143;0,7407407407407408;ocsvm;40-55;Eating;8
0;15;13;0;0,5357142857142857;0,0;;;lof;40-55;Eating;1
0;15;13;0;0,5357142857142857;0,0;;;lof;40-55;Eating;2
4;15;9;0;0,6785714285714286;0,3076923076923077;1,0;0,47058823529411764;lof;40-55;Eating;3
8;14;5;1;0,7857142857142857;0,6153846153846154;0,8888888888888888;0,7272727272727274;lof;40-55;Eating;4
9;14;4;1;0,8214285714285714;0,6923076923076923;0,9;0,7826086956521738;lof;40-55;Eating;5
11;12;2;3;0,8214285714285714;0,8461538461538461;0,7857142857142857;0,8148148148148148;lof;40-55;Eating;6
10;13;3;2;0,8214285714285714;0,7692307692307693;0,8333333333333334;0,8;lof;40-55;Eating;7
8;12;5;3;0,7142857142857143;0,6153846153846154;0,7272727272727273;0,6666666666666667;lof;40-55;Eating;8
1;11;12;4;0,42857142857142855;0,07692307692307693;0,2;0,1111111111111111;iforest;40-55;Eating;1
6;12;7;3;0,6428571428571429;0,46153846153846156;0,6666666666666666;0,5454545454545455;iforest;40-55;Eating;2
7;14;6;1;0,75;0,5384615384615384;0,875;0,6666666666666667;iforest;40-55;Eating;3
1;14;12;1;0,5357142857142857;0,07692307692307693;0,5;0,13333333333333336;iforest;40-55;Eating;4
2;13;11;2;0,5357142857142857;0,15384615384615385;0,5;0,23529411764705882;iforest;40-55;Eating;5
7;14;6;1;0,75;0,5384615384615384;0,875;0,6666666666666667;iforest;40-55;Eating;6
7;14;6;1;0,75;0,5384615384615384;0,875;0,6666666666666667;iforest;40-55;Eating;7
7;14;6;1;0,75;0,5384615384615384;0,875;0,6666666666666667;iforest;40-55;Eating;8
3;8;10;7;0,39285714285714285;0,23076923076923078;0,3;0,2608695652173913;rce;40-55;Eating;1
5;12;8;3;0,6071428571428571;0,38461538461538464;0,625;0,4761904761904762;rce;40-55;Eating;2
9;14;4;1;0,8214285714285714;0,6923076923076923;0,9;0,7826086956521738;rce;40-55;Eating;3
11;13;2;2;0,8571428571428571;0,8461538461538461;0,8461538461538461;0,8461538461538461;rce;40-55;Eating;4
11;14;2;1;0,8928571428571429;0,8461538461538461;0,9166666666666666;0,8799999999999999;rce;40-55;Eating;5
11;13;2;2;0,8571428571428571;0,8461538461538461;0,8461538461538461;0,8461538461538461;rce;40-55;Eating;6
11;14;2;1;0,8928571428571429;0,8461538461538461;0,9166666666666666;0,8799999999999999;rce;40-55;Eating;7
9;15;4;0;0,8571428571428571;0,6923076923076923;1,0;0,8181818181818181;rce;40-55;Eating;8
10;3;0;15;0,4642857142857143;1,0;0,4;0,5714285714285715;ocsvm;40-55;MealPreparation;1
10;8;0;10;0,6428571428571429;1,0;0,5;0,6666666666666666;ocsvm;40-55;MealPreparation;2
10;12;0;6;0,7857142857142857;1,0;0,625;0,7692307692307693;ocsvm;40-55;MealPreparation;3
10;8;0;10;0,6428571428571429;1,0;0,5;0,6666666666666666;ocsvm;40-55;MealPreparation;4
10;16;0;2;0,9285714285714286;1,0;0,8333333333333334;0,9090909090909091;ocsvm;40-55;MealPreparation;5
10;12;0;6;0,7857142857142857;1,0;0,625;0,7692307692307693;ocsvm;40-55;MealPreparation;6
10;16;0;2;0,9285714285714286;1,0;0,8333333333333334;0,9090909090909091;ocsvm;40-55;MealPreparation;7
10;16;0;2;0,9285714285714286;1,0;0,8333333333333334;0,9090909090909091;ocsvm;40-55;MealPreparation;8
3;17;7;1;0,7142857142857143;0,3;0,75;0,4285714285714285;lof;40-55;MealPreparation;1
3;17;7;1;0,7142857142857143;0,3;0,75;0,4285714285714285;lof;40-55;MealPreparation;2
5;17;5;1;0,7857142857142857;0,5;0,8333333333333334;0,625;lof;40-55;MealPreparation;3
9;17;1;1;0,9285714285714286;0,9;0,9;0,9;lof;40-55;MealPreparation;4
6;17;4;1;0,8214285714285714;0,6;0,8571428571428571;0,7058823529411764;lof;40-55;MealPreparation;5
6;15;4;3;0,75;0,6;0,6666666666666666;0,631578947368421;lof;40-55;MealPreparation;6
6;15;4;3;0,75;0,6;0,6666666666666666;0,631578947368421;lof;40-55;MealPreparation;7
6;14;4;4;0,7142857142857143;0,6;0,6;0,6;lof;40-55;MealPreparation;8
3;10;7;8;0,4642857142857143;0,3;0,2727272727272727;0,28571428571428564;iforest;40-55;MealPreparation;1
3;10;7;8;0,4642857142857143;0,3;0,2727272727272727;0,28571428571428564;iforest;40-55;MealPreparation;2
4;9;6;9;0,4642857142857143;0,4;0,3076923076923077;0,34782608695652173;iforest;40-55;MealPreparation;3
4;9;6;9;0,4642857142857143;0,4;0,3076923076923077;0,34782608695652173;iforest;40-55;MealPreparation;4
6;13;4;5;0,6785714285714286;0,6;0,5454545454545454;0,5714285714285713;iforest;40-55;MealPreparation;5
7;15;3;3;0,7857142857142857;0,7;0,7;0,7;iforest;40-55;MealPreparation;6
7;17;3;1;0,8571428571428571;0,7;0,875;0,7777777777777777;iforest;40-55;MealPreparation;7
7;17;3;1;0,8571428571428571;0,7;0,875;0,7777777777777777;iforest;40-55;MealPreparation;8
